,tsne_dim_1,tsne_dim_2
907,-68.41146,-54.023144
908,265.89203,40.62662
909,162.35712,-44.927876
910,28.320333,-109.64891
911,86.84222,-60.376858
912,130.47777,-172.37527
913,345.31403,-95.74035
914,-93.29627,-34.47792
915,255.0457,-129.08032
916,-101.52836,73.50535
917,361.67477,-96.43027
918,126.734024,-165.65926
919,236.2565,-77.867134
920,104.51902,-0.33525017
921,-102.410965,-136.58777
922,-146.56483,197.9273
923,-115.29526,-64.860535
924,14.755448,-143.58018
925,233.8326,-29.138485
926,-19.379677,-123.47766
927,105.55624,29.185572
928,94.2976,-40.990147
929,171.56134,13.176996
930,-120.49622,-49.814342
931,-14.658374,285.6152
932,229.46184,-92.41462
933,216.6755,114.9428
934,134.06868,61.587826
935,100.61329,-5.6394324
936,255.87485,107.09324
937,355.19443,-102.7093
938,178.63936,-89.40379
939,3.603067,-91.8691
940,-10.062242,-150.4303
941,364.6683,-119.11471
942,-154.09062,-74.42767
943,-216.14375,-117.3217
944,-149.87485,-199.35997
945,90.85604,0.18491593
946,-79.798836,-133.59958
947,83.93258,-81.94766
948,-163.14905,58.20354
949,43.70625,207.95505
950,70.9025,27.63826
951,-181.02304,185.91968
952,294.42273,-29.433237
953,-217.20616,-76.13603
954,16.212528,-95.25456
955,39.5938,-37.928635
956,-112.051704,80.60707
957,-123.46037,-38.094494
958,81.61534,-66.61758
959,142.76634,-133.43407
960,263.48074,36.449158
961,44.95433,-146.30028
962,-223.54144,-142.36736
963,-33.684395,190.13354
964,91.113945,23.10213
965,-123.808426,-210.2826
966,295.81528,103.49197
967,-20.918753,98.482796
968,-56.65925,-23.682974
969,196.54807,63.135643
970,180.83974,-67.93599
971,201.19127,16.24218
972,-116.815155,-208.04175
973,43.815014,-69.28836
974,182.73566,45.099968
975,384.69424,-106.5361
976,-216.28265,-129.95969
977,301.12695,-72.1824
978,366.98993,-65.44111
979,-196.51726,-132.94002
980,-196.07164,44.190594
981,378.88684,-66.04425
982,-196.05685,-1.6347693
983,136.15184,-99.24982
984,-59.648453,-94.194374
985,-2.061911,246.20876
986,-146.72583,-140.30743
987,-36.198063,-128.55818
988,43.937637,328.15237
989,210.97397,77.40033
990,86.748276,-77.02267
991,229.84085,-111.419075
992,-138.27379,-70.41686
993,174.41615,-132.24307
994,-79.63826,-29.308825
995,86.751,-73.07935
996,-105.69935,-127.27674
997,120.23299,71.0129
998,180.65462,63.356365
999,-70.398224,44.557304
1000,323.6598,-79.747986
1001,234.42805,81.98546
1002,397.82608,-94.88316
1003,161.97954,-39.259624
1004,-115.261826,-139.54404
1005,26.47625,289.42975
1006,260.84882,87.52514
1007,-72.44996,-146.1004
1008,-36.315693,51.876534
1009,-111.12736,-101.67599
1010,115.19281,-46.876312
1011,-16.99295,275.59793
1012,398.6201,-110.83117
1013,11.150679,-83.65121
1014,-72.81944,-132.76352
1015,202.68428,-89.730675
1016,-133.21017,110.73379
1017,205.2734,-59.786545
1018,244.0492,-78.97359
1019,-88.2477,78.92297
1020,355.2505,-143.19728
1021,40.919662,99.0941
1022,-28.94128,-121.70024
1023,357.40237,-71.93922
1024,-39.770138,-24.614021
1025,252.12172,24.558853
1026,190.77158,97.11316
1027,-52.07555,-188.295
1028,-231.43153,-136.49036
1029,-38.09778,-71.508865
1030,-189.63652,-74.4113
1031,30.24878,-80.91735
1032,312.7575,-117.81261
1033,259.81873,-132.38736
1034,-111.10137,-41.122765
1035,-232.20325,-87.68497
1036,-140.2031,137.62686
1037,47.380898,138.57216
1038,145.13509,148.76955
1039,66.95351,-4.7039123
1040,-109.23143,-70.85384
1041,333.45853,-108.34299
1042,-276.88647,115.707146
1043,-197.8583,40.22678
1044,-35.38922,210.66986
1045,45.60414,320.12283
1046,-88.71456,74.59817
1047,-187.92068,-9.906459
1048,-160.28004,-40.095844
1049,-251.83807,-25.175663
1050,-125.25191,-59.424377
1051,132.97195,-6.8221126
1052,343.17038,-83.777016
