,tsne_dim_1,tsne_dim_2
189,83.129234,-64.02399
190,-112.56558,80.4008
191,246.4138,-160.26076
192,318.08057,-50.53304
193,341.35797,-64.890854
194,156.36836,-90.63666
195,-93.60821,-40.046124
196,-57.36654,185.05382
197,24.736448,-176.52075
198,29.49349,-36.487892
199,-55.272827,79.27979
200,-125.00443,29.219675
201,283.3245,-137.22714
202,71.26904,254.20581
203,-110.12299,-209.27986
204,146.19794,83.532364
205,-241.54596,-218.72163
206,-89.40381,75.70286
207,-192.09427,-195.42767
208,-263.91125,11.767849
209,-242.45323,70.11846
210,21.72264,0.7880577
211,-175.17955,-212.09857
212,111.33548,-94.403534
213,36.356182,-182.7751
214,-103.920395,53.19191
215,-234.1361,52.257145
216,143.07196,-1.9225843
217,170.93527,28.26237
218,-119.82873,137.62889
219,-194.49133,-149.33356
220,9.2564745,-179.2419
221,-58.822773,70.25954
222,-10.302752,9.157952
223,-116.06515,22.927088
224,130.80507,-62.86117
225,-163.6797,7.073822
226,-70.82846,107.818184
227,-62.997303,-99.031235
228,-244.61435,169.8535
229,-113.55519,21.262177
230,316.51294,-57.47425
231,-257.22168,81.75552
232,-137.14217,172.98354
233,147.98126,96.85381
234,83.874985,133.05995
235,-20.467531,-226.13757
236,-50.93159,-243.40736
237,272.70074,-87.922134
238,-94.17023,-147.21417
239,113.293,-97.01358
240,8.0734005,177.75821
241,-206.53632,-45.988632
242,130.06523,-150.88287
243,-60.683727,-112.29104
244,239.99944,114.21223
245,3.611588,-211.74333
246,-193.36679,96.55964
247,208.53531,-141.26442
248,-91.21064,-137.40375
249,332.05258,-103.12629
250,-222.53679,-10.308832
251,349.11673,-70.85802
252,-134.19516,-93.537315
253,115.23186,31.929712
254,292.11768,-136.14282
255,193.64932,-97.350174
256,-158.39345,-43.112637
257,33.88004,-39.924988
258,101.05291,-65.76355
259,-284.5245,82.86128
260,-228.17044,181.47359
261,-50.613888,-108.224
262,339.6148,-47.858612
263,310.57428,-50.40437
264,127.71657,-74.613266
265,70.28585,-214.55136
266,-42.726036,-5.737893
267,280.1799,-108.30688
268,-180.32552,158.40077
269,-227.90625,157.4887
270,-223.99925,-96.20412
271,273.91144,-8.696677
272,-118.1321,7.8023515
273,274.8715,-145.00627
274,-188.06483,-92.03173
